route_id,service_id,agency_id,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
9362,94,MMT,04,,SOUTH TP:NORTH TP,Daily schedule trips operate regularly every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-4,42784D,000000,1
9363,94,MMT,05,,SOUTH TP:EAST TP,Daily schedule trips operate regularly every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-5,B46A5B,000000,1
9364,94,MMT,06,,E TOWNE:WEST TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Tokay and Madison College.,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,CC382C,000000,1
9365,94,MMT,07,,WEST TP:EAST TP,Daily schedule trips operate regularly every 30 minutes. Limited trips via Tokay and Regent suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-7,AEC34B,000000,1
9366,94,MMT,08,,SPRNG HB:CAP SQR,Daily schedule trips operate regularly every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-8,D8A464,000000,1
9367,94,MMT,10,,UNIV ROW:UNION CS,Weekday schedule trips operate at least every 30 minutes from approximately 6 AM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-10,919249,000000,1
9368,94,MMT,11,,DUTCH ML:WEST TP,Weekday schedule trips operate regularly eastbound every 60 minutes from approximately 6 AM until 9 AM and westbound every 60 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-11,D3886A,000000,1
9369,94,MMT,12,,DUTCH ML:WEST TP,Weekday schedule trips operate regularly westbound every 60 minutes from approximately 6 AM until 9 AM and eastbound every 60 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-12,9B8821,000000,1
9370,94,MMT,13,,U CAMPUS:SOUTH TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-13,803E0E,000000,1
9371,94,MMT,14,,WEXFD RG:ETP/SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-14,778D22,000000,1
9372,94,MMT,15,,JUNCT RG:ETP/SQR,Weekday schedule trips operate regularly every 60 minutes. Additional schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM. Trips via Junction and Greenway suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-15,C3C946,000000,1
9373,94,MMT,16,,SOUTH TP:EAST TP,Daily schedule trips operate regularly every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-16,B86FAD,000000,1
9374,94,MMT,17,,NORTH TP:EAST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-17,4D6BB1,000000,1
9375,94,MMT,18,,WEST TP:SOUTH TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Hammersley and Coho.,3,http://www.cityofmadison.com/metro/routes-schedules/route-18,4A67AE,000000,1
9376,94,MMT,19,,DUNNS MARSH:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-19,B8DB99,000000,1
9377,94,MMT,20,,E TOWNE:NORTH TP,Daily schedule trips operate regularly every 30 minutes. Limited trips via Shopko suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-20,A7533E,000000,1
9378,94,MMT,21,,LAKEVIEW:NORTH TP,Daily schedule trips operate regularly every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-21,7F9784,000000,1
9379,94,MMT,22,,MENDOTA:NORTH TP,Daily schedule trips operate regularly every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-22,7DBC9F,000000,1
9380,94,MMT,23,,S PRAIRIE:CAP SQR,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 8 AM and 4 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-23,FAA61A,000000,1
9381,94,MMT,25,,AMERICAN:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-25,A29F9A,000000,1
9382,94,MMT,26,,AMERICAN:E TOWNE,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-26,653A91,FFFFFF,1
9383,94,MMT,27,,U CAMPUS:NORTH TP,Weekday schedule trips operate regularly westbound every 30 minutes from approximately 6 AM until 8 AM and eastbound every 30 minutes from approximately 4 PM until 6 PM. Limited trips operate eastbound in the AM and westbound in the PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-27,7DC0D0,000000,1
9384,94,MMT,28,,NORTH TP:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-28,6AB6D1,000000,1
9385,94,MMT,29,,SCHOOL:BREESE,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-29,5C99A5,000000,1
9386,94,MMT,30,,E TOWNE:EAST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-30,DA8A39,000000,1
9387,94,MMT,31,,MARSH RD:EAST TP,Daily schedule trips operate regularly every 60 minutes. All trips operate via Dutch Mill.,3,http://www.cityofmadison.com/metro/routes-schedules/route-31,841D1D,FFFFFF,1
9388,94,MMT,32,,ACEWOOD-THOMPSON:ETP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-32,5580A9,000000,1
9389,94,MMT,33,,SPRECHER:ETP,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 9 AM and 3 PM until 6 PM. Route modified and stops east of Sprecher suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-33,5FA79D,000000,1
9390,94,MMT,34,,MATC:EAST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-34,976C25,000000,1
9391,94,MMT,35,,ATLAS-ACEWOOD:ETP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-35,C8537D,000000,1
9392,94,MMT,36,,E SPRINGS:E TOWNE,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-36,4D5613,000000,1
9393,94,MMT,37,,SHEBOYGN:PFLAUM,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-37,CB6B77,000000,1
9394,94,MMT,38,,SHEBOYGN:PFLAUM,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-38,8D89B3,000000,1
9395,94,MMT,39,,WORLD DY:EAST TP,Weekday schedule trips operate regularly every 60 minutes from approximately 6 AM until 6 PM. All trips operate via Dempsey.,3,http://www.cityofmadison.com/metro/routes-schedules/route-39,7493A8,000000,1
9396,94,MMT,40,,GRNDVIEW/TODD:STP,Daily schedule trips operate regularly every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM. Limited weekday trips operate via Todd.,3,http://www.cityofmadison.com/metro/routes-schedules/route-40,64ACCD,000000,1
9397,94,MMT,44,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly northbound every 30 minutes from approximately 6 AM until 9 AM and southbound every 30 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-44,8F8A64,000000,1
9398,94,MMT,47,,ARBOR HL:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-47,885CA0,000000,1
9399,94,MMT,48,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes southbound from approximately 7 AM until 8 AM and northbound every 30 minutes from approximately 4 PM until 5 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-48,D77AA9,000000,1
9400,94,MMT,49,,LACY-HATCHERY:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 8 AM and 4 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-49,7FC241,000000,1
