Station,Direction,Year,Month,Day,Time_Period,Volume,OBJECTID
130032 Washington,Outbound,2017,January,Wednesday,8-9 AM,1246,224
130032 Washington,Outbound,2017,January,Wednesday,9-10 AM,1055,225
130032 Washington,Outbound,2017,January,Wednesday,10-11 AM,1050,226
130032 Washington,Outbound,2017,January,Wednesday,11-12 AM,1321,227
130032 Washington,Outbound,2017,January,Wednesday,12-1 PM,1385,228
130032 Washington,Outbound,2017,January,Wednesday,1-2 PM,1407,229
130032 Washington,Outbound,2017,January,Wednesday,2-3 PM,1703,230
130032 Washington,Outbound,2017,January,Wednesday,3-4 PM,2306,231
130032 Washington,Outbound,2017,January,Wednesday,4-5 PM,3009,232
130032 Washington,Outbound,2017,January,Wednesday,5-6 PM,2826,233
130032 Washington,Outbound,2017,January,Wednesday,6-7 PM,1548,234
130032 Washington,Outbound,2017,January,Wednesday,7-8 PM,1054,235
130032 Washington,Outbound,2017,January,Wednesday,8-9 PM,918,236
130032 Washington,Outbound,2017,January,Wednesday,9-10 PM,682,237
130032 Washington,Outbound,2017,January,Wednesday,10-11 PM,555,238
130032 Washington,Outbound,2017,January,Wednesday,11-12 PM,370,239
130032 Washington,Outbound,2017,January,Thursday,12-1 AM,202,240
130032 Washington,Outbound,2017,January,Thursday,1-2 AM,139,241
130032 Washington,Outbound,2017,January,Thursday,2-3 AM,109,242
130032 Washington,Outbound,2017,January,Thursday,3-4 AM,80,243
130032 Washington,Outbound,2017,January,Thursday,4-5 AM,101,244
130032 Washington,Outbound,2017,January,Thursday,5-6 AM,244,245
130032 Washington,Outbound,2017,January,Thursday,6-7 AM,605,246
130032 Washington,Outbound,2017,January,Thursday,7-8 AM,1245,247
130032 Washington,Outbound,2017,January,Thursday,8-9 AM,1207,248
130032 Washington,Outbound,2017,January,Thursday,9-10 AM,1032,249
130032 Washington,Outbound,2017,January,Thursday,10-11 AM,1107,250
130032 Washington,Outbound,2017,January,Thursday,11-12 AM,1350,251
130032 Washington,Outbound,2017,January,Thursday,12-1 PM,1509,252
130032 Washington,Outbound,2017,January,Thursday,1-2 PM,1442,253
130032 Washington,Outbound,2017,January,Thursday,2-3 PM,1792,254
130032 Washington,Outbound,2017,January,Thursday,3-4 PM,2371,255
130032 Washington,Outbound,2017,January,Thursday,4-5 PM,2977,256
130032 Washington,Outbound,2017,January,Thursday,5-6 PM,2782,257
130032 Washington,Outbound,2017,January,Thursday,6-7 PM,1543,258
130032 Washington,Outbound,2017,January,Thursday,7-8 PM,1121,259
130032 Washington,Outbound,2017,January,Thursday,8-9 PM,925,260
130032 Washington,Outbound,2017,January,Thursday,9-10 PM,717,261
130032 Washington,Outbound,2017,January,Thursday,10-11 PM,572,262
130032 Washington,Outbound,2017,January,Thursday,11-12 PM,369,263
130032 Washington,Outbound,2017,January,Friday,12-1 AM,321,264
130032 Washington,Outbound,2017,January,Friday,1-2 AM,302,265
130032 Washington,Outbound,2017,January,Friday,2-3 AM,234,266
130032 Washington,Outbound,2017,January,Friday,3-4 AM,152,267
130032 Washington,Outbound,2017,January,Friday,4-5 AM,136,268
130032 Washington,Outbound,2017,January,Friday,5-6 AM,213,269
130032 Washington,Outbound,2017,January,Friday,6-7 AM,469,270
130032 Washington,Outbound,2017,January,Friday,7-8 AM,963,271
130032 Washington,Outbound,2017,January,Friday,8-9 AM,968,272
130032 Washington,Outbound,2017,January,Friday,9-10 AM,895,273
130032 Washington,Outbound,2017,January,Friday,10-11 AM,1053,274
130032 Washington,Outbound,2017,January,Friday,11-12 AM,1325,275
130032 Washington,Outbound,2017,January,Friday,12-1 PM,1536,276
