rank,cross_1,cross_2,impact_index,generated_time,agent_range,agent_interval
201,E Johnson,N Blair,-0.06881446118553411,2020-10-11 20:36:29.231301,0.6,0.05
202,Winnebago,S First,-0.06883829370109393,2020-10-11 20:36:29.231301,0.6,0.05
203,N Lake,University,-0.06950551454081443,2020-10-11 20:36:29.231301,0.6,0.05
204,W Johnson,N Frances,-0.06956205421132367,2020-10-11 20:36:29.231301,0.6,0.05
205,Merryturn,Spicebush,-0.0703932010016965,2020-10-11 20:36:29.231301,0.6,0.05
206,S Whitney,Regent,-0.07116531240338872,2020-10-11 20:36:29.231301,0.6,0.05
207,Atwood,Garrison,-0.07121615859095937,2020-10-11 20:36:29.231301,0.6,0.05
208,W Johnson,N Charter,-0.07124081625153225,2020-10-11 20:36:29.231301,0.6,0.05
209,S Park,Burr Oak,-0.07134573325908315,2020-10-11 20:36:29.231301,0.6,0.05
210,S Sixth,E Washington,-0.07140704410499102,2020-10-11 20:36:29.231301,0.6,0.05
211,W Gorham,Wisconsin,-0.07164446266819885,2020-10-11 20:36:29.231301,0.6,0.05
212,Regent,Vista,-0.07168886510725095,2020-10-11 20:36:29.231301,0.6,0.05
213,Bluff,Ridge,-0.07207972283085828,2020-10-11 20:36:29.231301,0.6,0.05
214,N Midvale,Hilldale Row,-0.07215377370906598,2020-10-11 20:36:29.231301,0.6,0.05
215,Buttonwood,American Family,-0.07259994038714723,2020-10-11 20:36:29.231301,0.6,0.05
216,N Hamilton,E Gorham,-0.07305962114858205,2020-10-11 20:36:29.231301,0.6,0.05
217,Heather,Hilldale Mall,-0.07333861510859535,2020-10-11 20:36:29.231301,0.6,0.05
218,Junction,Pick N Save,-0.07515480008613566,2020-10-11 20:36:29.231301,0.6,0.05
219,Regent,S Owen,-0.07572474404318896,2020-10-11 20:36:29.231301,0.6,0.05
220,N Broom,W Dayton,-0.07600967789414184,2020-10-11 20:36:29.231301,0.6,0.05
221,N Sherman,Lake View,-0.07633829345504856,2020-10-11 20:36:29.231301,0.6,0.05
222,N Sherman,Northport,-0.07801567482974645,2020-10-11 20:36:29.231301,0.6,0.05
223,Pheasant Ridge,E Badger,-0.07855204326045068,2020-10-11 20:36:29.231301,0.6,0.05
224,Kendall,Ridge,-0.07959421180125943,2020-10-11 20:36:29.231301,0.6,0.05
225,E Mifflin,N Pinckney,-0.08024830941146038,2020-10-11 20:36:29.231301,0.6,0.05
226,Eastpark,Broadview,-0.08039885833780863,2020-10-11 20:36:29.231301,0.6,0.05
227,W Washington,N Bedford,-0.08041031628036312,2020-10-11 20:36:29.231301,0.6,0.05
228,Marsh,Lot 76,-0.08072380260252396,2020-10-11 20:36:29.231301,0.6,0.05
229,University,University Bay,-0.08189577350634572,2020-10-11 20:36:29.231301,0.6,0.05
230,Hammersley,Whitcomb,-0.08298264043165834,2020-10-11 20:36:29.231301,0.6,0.05
231,S Butler,E Main,-0.08458032676589917,2020-10-11 20:36:29.231301,0.6,0.05
232,Cottontail,Dell,-0.08500096005866833,2020-10-11 20:36:29.231301,0.6,0.05
233,Schroeder,Rayovac,-0.08532592098872255,2020-10-11 20:36:29.231301,0.6,0.05
234,Excelsior,Associated Bank,-0.08572054081269799,2020-10-11 20:36:29.231301,0.6,0.05
235,W Olin,Lowell,-0.0889135220640644,2020-10-11 20:36:29.231301,0.6,0.05
236,Winnebago,S Fourth,-0.09122859189207431,2020-10-11 20:36:29.231301,0.6,0.05
237,S Fair Oaks,Milwaukee,-0.09217350390403489,2020-10-11 20:36:29.231301,0.6,0.05
238,S Broom,W Wilson,-0.09286978785552562,2020-10-11 20:36:29.231301,0.6,0.05
239,Melody,Stuart,-0.09508906125297109,2020-10-11 20:36:29.231301,0.6,0.05
240,Northport,Northside Town,-0.09614223492722157,2020-10-11 20:36:29.231301,0.6,0.05
241,University,N Frances,-0.09618438554277134,2020-10-11 20:36:29.231301,0.6,0.05
242,Beltline S,Seminole,-0.09739722715598628,2020-10-11 20:36:29.231301,0.6,0.05
243,N Thompson,Waywood,-0.09745704789388084,2020-10-11 20:36:29.231301,0.6,0.05
244,Odana,Charles,-0.09836584996201889,2020-10-11 20:36:29.231301,0.6,0.05
245,S Allen,Commonwealth,-0.09846736850504534,2020-10-11 20:36:29.231301,0.6,0.05
246,International,Darwin,-0.09913971359231867,2020-10-11 20:36:29.231301,0.6,0.05
247,N Park,State,-0.10003671281936892,2020-10-11 20:36:29.231301,0.6,0.05
248,Crossroads,2910,-0.10042978853929274,2020-10-11 20:36:29.231301,0.6,0.05
249,Rimrock,Moorland,-0.10112654487038489,2020-10-11 20:36:29.231301,0.6,0.05
250,Regent,S Randall,-0.10375648725094569,2020-10-11 20:36:29.231301,0.6,0.05
251,E Washington,N Baldwin,-0.10384870953294482,2020-10-11 20:36:29.231301,0.6,0.05
252,Verona W,Beltline S,-0.10387503141009097,2020-10-11 20:36:29.231301,0.6,0.05
