X,Y,OBJECTID,IntersectionID,InterDescription,Lat,Lon,Weekday,Saturday,Sunday,Weekday_1_79,Saturday_1_79,Sunday_1_79,WkdCash,WkdSvc,WkdBdPerSvc,DotSize
-89.4618589528644,43.0315900676469,1307,295,,43.031598,-89.461865,4.17,0,0,0,0,0,0,0,0,20830.25
-89.501973941019,43.0316760701298,1308,296,,43.031684,-89.50198,3.23,0,1,0,0,0,0,0,0,16160.91
-89.4651309519737,43.0318230682691,1309,297,,43.031831,-89.465137,1.69,0,0,0,0,0,0,0,0,8444.7
-89.4797649481611,43.0319010692639,1310,298,,43.031909,-89.479771,46.72,24.67,14,0,0,0,0,0,0,233579.98
-89.4485709574317,43.0322010667585,1311,299,,43.032209,-89.448577,9.46,0,0,0,0,0,0,0,0,47275.54
-89.3882589752377,43.033329063914,1312,300,,43.033337,-89.388265,18.44,2.01,2.35,0,0,0,0,0,0,92213.3
-89.3806289770414,43.0334460628196,1313,301,,43.033454,-89.380635,14.28,4.01,4.37,0,0,0,0,0,0,71409.08
-89.4772209484558,43.0338780683805,1314,302,,43.033886,-89.477227,8.01,1.33,1.33,0,0,0,0,0,0,40027.55
-89.4886639444143,43.0345860686887,1315,303,,43.034594,-89.48867,1.23,0,0,0,0,0,0,0,0,6130.91
-89.4613539532039,43.0346210675906,1316,304,,43.034629,-89.46136,2.03,0,0,0,0,0,0,0,0,10133.64
-89.4149719664113,43.0346420651168,1317,305,,43.03465,-89.414978,0.45,0.67,0.67,0,0,0,0,0,0,2233.76
-89.3850009750659,43.0347310630816,1318,306,,43.034739,-89.385007,37.34,25.41,16.12,0,0,0,0,0,0,186675.71
-89.4287139624626,43.0348680658404,1319,307,,43.034876,-89.42872,4.56,1.68,1.67,0,0,0,0,0,0,22816.99
-89.4528619560442,43.0350360668179,1320,308,,43.035044,-89.452868,2.56,0,0,0,0,0,0,0,0,12792.2
-89.4333769611088,43.0351280661214,1321,309,,43.035136,-89.433383,12.7,2.34,0.67,0,0,0,0,0,0,63484.76
