rank,cross_1,cross_2,impact_index,generated_time,agent_range,agent_interval
190,N Lake,W Johnson,-0.04429330356923911,2020-10-11 20:44:49.553485,0.6,0.05
191,University,Parmenter,-0.04451451476807547,2020-10-11 20:44:49.553485,0.6,0.05
192,Bluff,Ridge,-0.04557974118458999,2020-10-11 20:44:49.553485,0.6,0.05
193,S Park,W Olin,-0.04563794322252333,2020-10-11 20:44:49.553485,0.6,0.05
194,Red Arrow,Jenewein,-0.046740179971954676,2020-10-11 20:44:49.553485,0.6,0.05
195,S Broom,W Doty,-0.04679509003945438,2020-10-11 20:44:49.553485,0.6,0.05
196,Verona,Highway Ramp,-0.047429161774053256,2020-10-11 20:44:49.553485,0.6,0.05
197,Raymond,Leland,-0.04745044837481932,2020-10-11 20:44:49.553485,0.6,0.05
198,E Springs,High Crossing,-0.04759404753361848,2020-10-11 20:44:49.553485,0.6,0.05
199,E Cheryl,Woods Hollow,-0.04763281437143968,2020-10-11 20:44:49.553485,0.6,0.05
200,Regent,Highland,-0.04763700634304295,2020-10-11 20:44:49.553485,0.6,0.05
201,Continental,E Washington,-0.04793510318373502,2020-10-11 20:44:49.553485,0.6,0.05
202,Londonderry,Dryden,-0.048147916658964326,2020-10-11 20:44:49.553485,0.6,0.05
203,Regent,Vista,-0.04820212279305164,2020-10-11 20:44:49.553485,0.6,0.05
204,Rimrock,Moorland,-0.04835797213955723,2020-10-11 20:44:49.553485,0.6,0.05
205,Fisher,Dane,-0.048724843132651796,2020-10-11 20:44:49.553485,0.6,0.05
206,Junction,Pick N Save,-0.04915126915796984,2020-10-11 20:44:49.553485,0.6,0.05
207,Carnwood,Maple Grove,-0.04963969565927061,2020-10-11 20:44:49.553485,0.6,0.05
208,N Sherman,Northport,-0.04986112965042956,2020-10-11 20:44:49.553485,0.6,0.05
209,W Johnson,N Mills,-0.04994468519127471,2020-10-11 20:44:49.553485,0.6,0.05
210,E Gorham,N Baldwin,-0.05081219755376696,2020-10-11 20:44:49.553485,0.6,0.05
211,Fish Hatchery,Pike,-0.051069009476686536,2020-10-11 20:44:49.553485,0.6,0.05
212,Aberg,Ruskin,-0.05107797218392118,2020-10-11 20:44:49.553485,0.6,0.05
213,N Carroll,W Mifflin,-0.05138076913309885,2020-10-11 20:44:49.553485,0.6,0.05
214,W Olin,Colby,-0.051561171928333954,2020-10-11 20:44:49.553485,0.6,0.05
215,Cottontail,Dell,-0.05169352370268185,2020-10-11 20:44:49.553485,0.6,0.05
216,Commercial N,N Fair Oaks,-0.052277904877647455,2020-10-11 20:44:49.553485,0.6,0.05
217,S Fairchild,W Main,-0.05233247554430108,2020-10-11 20:44:49.553485,0.6,0.05
218,E Washington,N Sixth,-0.053392088504368496,2020-10-11 20:44:49.553485,0.6,0.05
219,W Johnson,N Charter,-0.05434852701957846,2020-10-11 20:44:49.553485,0.6,0.05
220,University,N Randall,-0.054938374964281986,2020-10-11 20:44:49.553485,0.6,0.05
221,Kendall,Ridge,-0.05619709631955794,2020-10-11 20:44:49.553485,0.6,0.05
222,Science,U W Health,-0.05661914244550989,2020-10-11 20:44:49.553485,0.6,0.05
223,King James,Williamsburg,-0.05752504991159589,2020-10-11 20:44:49.553485,0.6,0.05
224,N Sherman,Lake View,-0.05774706427785578,2020-10-11 20:44:49.553485,0.6,0.05
225,S Whitney,126,-0.05802298642970971,2020-10-11 20:44:49.553485,0.6,0.05
226,N Sherman,Logan,-0.05860731892349147,2020-10-11 20:44:49.553485,0.6,0.05
227,N Broom,W Dayton,-0.059391300827974225,2020-10-11 20:44:49.553485,0.6,0.05
228,E Johnson,N Butler,-0.05951902328455523,2020-10-11 20:44:49.553485,0.6,0.05
229,Watts,S Burberry,-0.06015511362641163,2020-10-11 20:44:49.553485,0.6,0.05
230,Pheasant Ridge,E Badger,-0.060248021759746265,2020-10-11 20:44:49.553485,0.6,0.05
231,Regent,S Owen,-0.060415008788917784,2020-10-11 20:44:49.553485,0.6,0.05
232,Observatory,N Charter,-0.06232321777390913,2020-10-11 20:44:49.553485,0.6,0.05
233,Allied,Thurston,-0.06235484466537631,2020-10-11 20:44:49.553485,0.6,0.05
234,Pheasant Ridge,Quail Run,-0.06258579836462355,2020-10-11 20:44:49.553485,0.6,0.05
235,Atwood,Garrison,-0.06312633476734325,2020-10-11 20:44:49.553485,0.6,0.05
236,Wheeler,Golf View,-0.06341012945377772,2020-10-11 20:44:49.553485,0.6,0.05
237,Lake Mendota,Lot P,-0.0635739840613754,2020-10-11 20:44:49.553485,0.6,0.05
238,Williamson,Rogers,-0.063834750749954,2020-10-11 20:44:49.553485,0.6,0.05
239,Allied,Lovell,-0.06464728933531375,2020-10-11 20:44:49.553485,0.6,0.05
240,E Wilson,S Franklin,-0.06468188607448355,2020-10-11 20:44:49.553485,0.6,0.05
241,Regent,N Park,-0.0653968755026152,2020-10-11 20:44:49.553485,0.6,0.05
242,N Midvale,Hilldale Row,-0.06682052046142659,2020-10-11 20:44:49.553485,0.6,0.05
243,N Lake,University,-0.06763590585264034,2020-10-11 20:44:49.553485,0.6,0.05
244,Linden,N Charter,-0.06770698455650681,2020-10-11 20:44:49.553485,0.6,0.05
245,S Park,Meriter,-0.06839791603242874,2020-10-11 20:44:49.553485,0.6,0.05
246,Reetz,Black Oak,-0.068398517530535,2020-10-11 20:44:49.553485,0.6,0.05
247,S Whitney,Regent,-0.07028595678373223,2020-10-11 20:44:49.553485,0.6,0.05
248,S Park,Burr Oak,-0.07039869527391386,2020-10-11 20:44:49.553485,0.6,0.05
249,N Rosa,Regent,-0.07083159851536525,2020-10-11 20:44:49.553485,0.6,0.05
250,N Bedford,W Mifflin,-0.07191701522332894,2020-10-11 20:44:49.553485,0.6,0.05
251,Excelsior,8417,-0.07241575991256402,2020-10-11 20:44:49.553485,0.6,0.05
252,E Washington,S Webster,-0.07314188170757277,2020-10-11 20:44:49.553485,0.6,0.05
253,Heather,Hilldale Mall,-0.07325912093675092,2020-10-11 20:44:49.553485,0.6,0.05
254,W Dayton,N Frances,-0.0735014712874621,2020-10-11 20:44:49.553485,0.6,0.05
255,Jenifer,Williamson,-0.07385728959812353,2020-10-11 20:44:49.553485,0.6,0.05
256,E Mifflin,N Pinckney,-0.07483869752579259,2020-10-11 20:44:49.553485,0.6,0.05
257,S Thompson,1306,-0.07506209464731425,2020-10-11 20:44:49.553485,0.6,0.05
258,University,University Bay,-0.07577553179778845,2020-10-11 20:44:49.553485,0.6,0.05
259,School,Northland,-0.0767248158948852,2020-10-11 20:44:49.553485,0.6,0.05
260,Schroeder,Rayovac,-0.07741698398797459,2020-10-11 20:44:49.553485,0.6,0.05
261,Starr Grass,Waldorf,-0.07936175823204986,2020-10-11 20:44:49.553485,0.6,0.05
262,S Butler,E Main,-0.08023680205114063,2020-10-11 20:44:49.553485,0.6,0.05
263,Deming,Park Bank,-0.08051704413011723,2020-10-11 20:44:49.553485,0.6,0.05
264,Odana,Burlington Coat,-0.0814395332491996,2020-10-11 20:44:49.553485,0.6,0.05
265,E Washington,N Blair,-0.08205614635005201,2020-10-11 20:44:49.553485,0.6,0.05
266,Beltline S,Seminole,-0.08269610739087238,2020-10-11 20:44:49.553485,0.6,0.05
267,Turner,Pflaum,-0.08436592692441022,2020-10-11 20:44:49.553485,0.6,0.05
268,Lake Point,Weber,-0.08505399685278196,2020-10-11 20:44:49.553485,0.6,0.05
269,Old Middleton,Old Sauk,-0.08509127182738475,2020-10-11 20:44:49.553485,0.6,0.05
270,Hayes,Morningside,-0.08571957002345437,2020-10-11 20:44:49.553485,0.6,0.05
271,Northport,Northside Town,-0.08709643008619686,2020-10-11 20:44:49.553485,0.6,0.05
272,S Park,Regent,-0.08714357323865149,2020-10-11 20:44:49.553485,0.6,0.05
273,University Bay,Lot 76,-0.0875358377902908,2020-10-11 20:44:49.553485,0.6,0.05
274,Fish Hatchery,Appleton,-0.08772315160216088,2020-10-11 20:44:49.553485,0.6,0.05
275,S Sixth,E Washington,-0.08841316881379474,2020-10-11 20:44:49.553485,0.6,0.05
276,W Dayton,N Lake,-0.08954290521068581,2020-10-11 20:44:49.553485,0.6,0.05
277,Odana,Frederick,-0.0898391236241584,2020-10-11 20:44:49.553485,0.6,0.05
278,International,Elder Care,-0.08988874690111875,2020-10-11 20:44:49.553485,0.6,0.05
279,American,Buttonwood,-0.09025136711855543,2020-10-11 20:44:49.553485,0.6,0.05
280,Mineral Point,S Gammon,-0.09038886955083064,2020-10-11 20:44:49.553485,0.6,0.05
281,Winnebago,S First,-0.0909381554032449,2020-10-11 20:44:49.553485,0.6,0.05
282,Mineral Point,Randolph,-0.09135893854143196,2020-10-11 20:44:49.553485,0.6,0.05
283,N Webster,E Mifflin,-0.0915148757576903,2020-10-11 20:44:49.553485,0.6,0.05
284,Marsh,Lot 76,-0.09154785653900781,2020-10-11 20:44:49.553485,0.6,0.05
285,Mineral Point,S Junction,-0.09274492269220547,2020-10-11 20:44:49.553485,0.6,0.05
286,E Main,S Pinckney,-0.0933095614827292,2020-10-11 20:44:49.553485,0.6,0.05
287,W Johnson,Wisconsin,-0.09366970348348597,2020-10-11 20:44:49.553485,0.6,0.05
288,W Gorham,Wisconsin,-0.09535701031964489,2020-10-11 20:44:49.553485,0.6,0.05
289,Deming,J Q Hammons,-0.0969778445077091,2020-10-11 20:44:49.553485,0.6,0.05
290,W Badger,Fiedler,-0.09983959771669138,2020-10-11 20:44:49.553485,0.6,0.05
291,Verona E,Atticus,-0.09984838382857425,2020-10-11 20:44:49.553485,0.6,0.05
292,Regent,N Breese,-0.10023143513805347,2020-10-11 20:44:49.553485,0.6,0.05
293,S Midvale,Cherokee,-0.10030019742074617,2020-10-11 20:44:49.553485,0.6,0.05
294,Babcock,Linden,-0.10084594592581654,2020-10-11 20:44:49.553485,0.6,0.05
