OBJECTID,WARD,ALD_DIST,SUP_DIST,ASM_DIST,SEN_DIST,ADDRESS,HANDICAP_ACCESS,SPEC_COMMENTS,PHONE_NO,BALLOT_COLOR,SHAPESTArea,SHAPESTLength
19741,140,9,9,78,26,,,,,,5958518.38015747,10411.0296856576
19742,-1,-1,-1,-1,-1,,,,,,816080.429656982,3850.12018458978
19743,-1,-1,-1,-1,-1,,,,,,391097.342315674,2590.658233961
19744,-1,-1,15,79,27,,,,,,145306294.227417,59701.3703132116
19745,-1,-1,15,79,27,,,,,,270497.834960938,2148.76581215378
19746,90,19,8,78,26,,,,,,13015218.7908325,27853.935575422
19747,-1,-1,15,79,27,,,,,,1093204.42922974,5123.24953369828
19748,141,19,8,78,26,,,,,,58140.2596740723,969.02304223085
19749,142,17,21,48,16,,,,,,1465136.69006348,6162.55567934172
19750,144,7,14,78,26,,,,,,1588958.48352051,8363.05179002529
19751,-1,-1,15,79,27,,,,,,954707.384399414,3975.63526044154
19752,-1,-1,21,79,27,,,,,,77750.9696960449,1137.89391634998
19753,145,17,12,48,16,,,,,,2404012.00460815,7681.22584449341
19754,146,14,23,77,26,,,,,,31450.0023193359,795.703115311667
19755,151,1,15,78,26,,,,,,1723492.07980347,5252.93768172375
19756,148,7,14,78,26,,,,,,192869.256958008,1863.85382955265
19757,149,9,8,78,26,,,,,,30354.6530151367,714.998964829584
19758,152,12,18,48,16,,,,,,2583769.16415405,6563.68784682313
